"","balls","strikes","outs_when_up","inning","pitch_number","situation_score","pitch_score"
"1",3,2,0,6,7,1,1
"2",3,2,0,6,6,1,1
"3",2,2,0,6,5,1,1
"4",1,2,0,6,4,1,1
"5",0,2,0,6,3,1,0
"6",0,1,0,6,2,1,0
"7",0,0,0,6,1,1,1
"8",1,1,0,6,3,0,0
"9",0,1,0,6,2,0,0
"10",0,0,0,6,1,0,1
"11",1,2,2,5,4,1,0
"12",0,2,2,5,3,1,1
"13",0,1,2,5,2,1,1
"14",0,0,2,5,1,1,0
"15",3,1,2,5,5,0,1
"16",2,1,2,5,4,0,1
"17",1,1,2,5,3,0,1
"18",0,1,2,5,2,0,1
"19",0,0,2,5,1,0,1
"20",0,0,1,5,1,0,1
"21",0,0,0,5,1,0,1
"22",1,0,2,4,2,0,1
"23",0,0,2,4,1,0,1
"24",1,1,1,4,3,0,0
"25",1,0,1,4,2,0,0
"26",0,0,1,4,1,0,0
"27",1,1,0,4,3,0,0
"28",1,0,0,4,2,0,0
"29",0,0,0,4,1,0,0
"30",1,2,2,3,4,4,1
"31",1,1,2,3,3,4,1
"32",0,1,2,3,2,4,1
"33",0,0,2,3,1,4,1
"34",3,2,2,3,6,3,0
"35",2,2,2,3,5,3,1
"36",1,2,2,3,4,3,0
"37",1,1,2,3,3,3,1
"38",0,1,2,3,2,3,1
"39",0,0,2,3,1,2,1
"40",2,2,1,3,6,2,1
"41",2,2,1,3,5,2,0
"42",2,1,1,3,4,2,1
"43",1,1,1,3,3,2,0
"44",0,1,1,3,2,2,0
"45",0,0,1,3,1,1,0
"46",2,1,0,3,4,4,1
"47",1,1,0,3,3,4,0
"48",1,0,0,3,2,4,1
"49",0,0,0,3,1,4,0
"50",0,2,0,3,3,1,1
"51",0,1,0,3,2,1,1
"52",0,0,0,3,1,1,0
"53",2,2,0,3,7,0,0
"54",1,2,0,3,6,0,0
"55",1,2,0,3,5,0,1
"56",1,2,0,3,4,0,0
"57",1,1,0,3,3,0,0
"58",1,0,0,3,2,0,0
"59",0,0,0,3,1,0,0
"60",2,2,2,2,6,3,1
"61",1,2,2,2,5,3,0
"62",1,2,2,2,4,3,1
"63",0,2,2,2,3,3,0
"64",0,1,2,2,2,3,1
"65",0,0,2,2,1,3,1
"66",2,2,1,2,7,3,1
"67",2,2,1,2,6,3,0
"68",2,2,1,2,5,3,1
"69",2,1,1,2,4,3,0
"70",1,1,1,2,3,3,0
"71",0,1,1,2,2,3,0
"72",0,0,1,2,1,3,1
"73",3,2,0,2,7,3,0
"74",3,2,0,2,6,3,1
"75",2,2,0,2,5,3,1
"76",1,2,0,2,4,3,1
"77",1,1,0,2,3,3,0
"78",0,1,0,2,2,3,0
"79",0,0,0,2,1,3,0
"80",0,1,0,2,2,1,1
"81",0,0,0,2,1,1,1
"82",3,2,0,2,6,0,1
"83",2,2,0,2,5,0,1
"84",2,1,0,2,4,0,1
"85",1,1,0,2,3,0,1
"86",1,0,0,2,2,0,1
"87",0,0,0,2,1,0,1
"88",1,2,2,1,4,3,0
"89",1,1,2,1,3,3,0
"90",1,0,2,1,2,3,0
"91",0,0,2,1,1,3,0
"92",3,2,1,1,6,2,1
"93",2,2,1,1,5,2,1
"94",1,2,1,1,4,2,0
"95",0,2,1,1,3,2,1
"96",0,1,1,1,2,2,1
"97",0,0,1,1,1,2,1
"98",1,0,1,1,2,0,1
"99",0,0,1,1,1,0,1
"100",2,0,0,1,3,0,0
"101",1,0,0,1,2,0,0
"102",0,0,0,1,1,0,1
